ticker,empresa,published_at_utc,publisher,title,summary,link,relevance_score,relevance_label,impact_label,impact_confidence,themes,entities,top_keywords,positive_signals,negative_signals
PETR4.SA,Petrobras,,"{'displayName': 'Offshore Technology', 'url': 'https://www.globaldata.com/', 'sourceId': 'offshore_technology_431'}",Subsea7 secures Sépia 2 field contract from Petrobras,"The Sépia 2 project is part of Brazil’s pre-salt expansion, a central focus for offshore investment.",https://www.offshore-technology.com/news/subsea7-sepia2-field-contract-petrobras/,21,alta,neutro,0.35,petroleo,"petrobras, pre-sal","sépia, brazil, central, contract, expansion, field, focus, from, investment, offshore, part, petrobras",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Can Petrobras' Pre-Salt Dominance Keep Driving Strong Growth? (Revised),"PBR's pre-salt edge drives output growth, low costs and new discoveries, making it sustainable for long-term production and cash flow strength.",https://finance.yahoo.com/sectors/energy/articles/petrobras-pre-salt-dominance-keep-060800726.html,21,alta,neutro,0.35,petroleo,"pbr, petrobras, pre-sal","growth, pre-salt, can, cash, costs, discoveries, dominance, drives, driving, edge, flow, keep",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Can Petrobras' Pre-Salt Dominance Keep Driving Strong Growth?,"PBR's pre-salt edge drives output growth, low costs and new discoveries, making it sustainable for long-term production and cash flow strength.",https://finance.yahoo.com/sectors/energy/articles/petrobras-pre-salt-dominance-keep-140500043.html,21,alta,neutro,0.35,petroleo,"pbr, petrobras, pre-sal","growth, pre-salt, can, cash, costs, discoveries, dominance, drives, driving, edge, flow, keep",,
PETR4.SA,Petrobras,,"{'displayName': 'Insider Monkey', 'url': 'http://www.insidermonkey.com', 'sourceId': 'insidermonkey.com'}",Is Petroleo Brasileiro (PBR) One of the Must-Buy Non-Tech Stocks to Invest in Now?,"Petroleo Brasileiro (NYSE:PBR) is among the must-buy non-tech stocks to invest in now. On March 26, UBS boosted its price target on Petroleo Brasileiro (NYSE:PBR) to $22 from $14.60 while reiterating a Buy rating on the stock. The equity research firm pointed to the company’s strong cash generation and solid dividend yield as factors for […]",https://finance.yahoo.com/markets/stocks/articles/petroleo-brasileiro-pbr-one-must-090701571.html,21,alta,positivo,0.65,"petroleo, dividendos","pbr, petroleo brasileiro","brasileiro, pbr, petroleo, invest, must-buy, non-tech, now, nyse, stocks, among, boosted, buy",tema dividendos,
PETR4.SA,Petrobras,,"{'displayName': 'Insider Monkey', 'url': 'http://www.insidermonkey.com', 'sourceId': 'insidermonkey.com'}",Jim Cramer on Petrobras: “I Wish I Could Have Recommended It Earlier”,"Petróleo Brasileiro S.A. – Petrobras (NYSE:PBR) is among Jim Cramer’s latest stock calls as he covered Exxon, Lockheed, and others. Toward the end of the lightning round, answering a caller’s question about the stock, Cramer remarked: This stock has had quite a run. It’s a parabolic move. I wish I could have recommended it earlier. […]",https://finance.yahoo.com/markets/stocks/articles/jim-cramer-petrobras-wish-could-032557916.html,17,media,neutro,0.35,petroleo,"pbr, petrobras, petróleo brasileiro","cramer, stock, could, earlier, have, jim, petrobras, recommended, wish, about, among, answering",,
PETR4.SA,Petrobras,,"{'displayName': 'Oilprice.com', 'url': 'http://oilprice.com', 'sourceId': 'oilprice.com'}",Petrobras Moves to Reclaim Full Control of Key Campos Basin Assets,Petrobras has signed a $450 million agreement to reacquire full ownership of the Tartaruga Verde field and the Espadarte Module III project from Petronas.,https://finance.yahoo.com/sectors/energy/articles/petrobras-moves-reclaim-full-control-043032709.html,14,media,neutro,0.35,,petrobras,"full, petrobras, 450, agreement, assets, basin, campos, control, espadarte, field, from, has",,
PETR4.SA,Petrobras,,"{'displayName': 'Insider Monkey', 'url': 'http://www.insidermonkey.com', 'sourceId': 'insidermonkey.com'}",What the Petrobras Contract Means for Valaris Limited (VAL)’s Future,"Valaris Limited (NYSE:VAL) is among the most profitable stocks in each sector so far in 2026. On April 6, Valaris Limited (NYSE:VAL) announced it had won a 1,064-day contract extension with Petrobras for the drillship VALARIS DS-4, which will operate offshore Brazil. Planned to begin in November next year, after the completion of the existing […]",https://finance.yahoo.com/markets/stocks/articles/petrobras-contract-means-valaris-limited-214440678.html,14,media,neutro,0.35,,petrobras,"valaris, limited, val, contract, nyse, petrobras, 064-day, 2026, after, among, announced, april",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Petrobras (PBR) Stock Falls Amid Market Uptick: What Investors Need to Know,"Petrobras (PBR) closed the most recent trading day at $19.98, moving 3.52% from the previous trading session.",https://finance.yahoo.com/markets/stocks/articles/petrobras-pbr-stock-falls-amid-215002155.html,14,media,neutro,0.35,,"pbr, petrobras","pbr, petrobras, trading, amid, closed, day, falls, from, investors, know, market, most",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Petrobras Extends Offshore Drilling Deals With Valaris and Seadrill,"PBR extends major offshore drilling contracts with Valaris and Seadrill, reinforcing its deepwater strategy in Brazil's Santos Basin.",https://finance.yahoo.com/sectors/energy/articles/petrobras-extends-offshore-drilling-deals-123600932.html,14,media,neutro,0.35,,"pbr, petrobras","drilling, extends, offshore, seadrill, valaris, with, basin, brazil, contracts, deals, deepwater, its",,
PETR4.SA,Petrobras,,"{'displayName': 'Oilprice.com', 'url': 'http://oilprice.com', 'sourceId': 'oilprice.com'}",Petrobras Shakes Up Leadership Amid Governance Transition,Petrobras has implemented a series of leadership changes across its board and executive ranks as part of an ongoing governance transition ahead of its upcoming shareholder meeting.,https://finance.yahoo.com/sectors/energy/articles/petrobras-shakes-leadership-amid-governance-021500094.html,14,media,neutro,0.35,,petrobras,"governance, its, leadership, petrobras, transition, across, ahead, amid, board, changes, executive, has",,
PETR4.SA,Petrobras,,"{'displayName': 'Simply Wall St.', 'url': 'https://simplywall.st/', 'sourceId': 'simply_wall_st__316'}",Assessing Fugro’s (ENXTAM:FUR) Valuation After Petrobras Offshore Wind Pilot Contract Win,"Why Petrobras’ offshore wind contract matters for Fugro Fugro (ENXTAM:FUR) has been chosen by Petrobras to run a geotechnical site investigation for the Rio de Janeiro offshore wind pilot project, which is the first offshore wind development in South America moving ahead under formal environmental licensing. This contract places Fugro’s geo-data services at the center of an early stage offshore wind opportunity in the region and gives investors a fresh data point when weighing the stock’s...",https://finance.yahoo.com/markets/stocks/articles/assessing-fugro-enxtam-fur-valuation-171204482.html,14,media,neutro,0.35,,petrobras,"offshore, wind, fugro, contract, petrobras, enxtam, fur, pilot, after, ahead, america, assessing",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Brokers Suggest Investing in Petrobras (PBR): Read This Before Placing a Bet,"The average brokerage recommendation (ABR) for Petrobras (PBR) is equivalent to a Buy. The overly optimistic recommendations of Wall Street analysts make the effectiveness of this highly sought-after metric questionable. So, is it worth buying the stock?",https://finance.yahoo.com/markets/stocks/articles/brokers-suggest-investing-petrobras-pbr-133003098.html,14,media,neutro,0.35,,"pbr, petrobras","pbr, petrobras, this, abr, analysts, average, before, bet, brokerage, brokers, buy, buying",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Petrobras (PBR) Stock Slides as Market Rises: Facts to Know Before You Trade,"In the most recent trading session, Petrobras (PBR) closed at $20.08, indicating a -3.23% shift from the previous trading day.",https://finance.yahoo.com/markets/stocks/articles/petrobras-pbr-stock-slides-market-215003619.html,14,media,neutro,0.35,,"pbr, petrobras","pbr, petrobras, trading, before, closed, day, facts, from, indicating, know, market, most",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Petrobras (PBR) Is Up 10.48% in One Week: What You Should Know,Does Petrobras (PBR) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://finance.yahoo.com/markets/stocks/articles/petrobras-pbr-10-48-one-160006185.html,14,media,neutro,0.35,,"pbr, petrobras","pbr, petrobras, what, does, find, have, investors, know, let, momentum, one, out",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}",Best-Performing Leveraged ETFs of Q1 2026,"Oil shock and Iran war reshaped Q1, sending some leveraged energy ETFs soaring.",https://finance.yahoo.com/markets/stocks/articles/best-performing-leveraged-etfs-q1-140000248.html,3,baixa,incerto,0.15,geopolitica,,"etfs, leveraged, 2026, best-performing, energy, iran, oil, reshaped, sending, shock, soaring, some",,
PETR4.SA,Petrobras,,"{'displayName': 'MT Newswires', 'url': 'https://www.mtnewswires.com/', 'sourceId': 'mt_newswires_premium_news_706'}",Sector Update: Energy Stocks Lean Lower Premarket Friday,"Energy stocks were leaning lower premarket Friday, with the State Street Energy Select Sector SPDR E",https://finance.yahoo.com/sectors/energy/articles/sector-energy-stocks-lean-lower-132826838.html,0,baixa,incerto,0.15,,,"energy, friday, lower, premarket, sector, stocks, lean, leaning, select, spdr, state, street",,
PETR4.SA,Petrobras,,"{'displayName': 'Offshore Technology', 'url': 'https://www.globaldata.com/', 'sourceId': 'offshore_technology_431'}",Seadrill secures contract extension for West Polaris in Brazil,The extension will contribute around $480m (£361.52m) to the contract backlog.,https://www.offshore-technology.com/news/seadrill-secures-contract-extension-for-west-polaris-in-brazil/,0,baixa,incerto,0.15,,,"contract, extension, 361, 480m, 52m, around, backlog, brazil, contribute, polaris, seadrill, secures",,
PETR4.SA,Petrobras,,"{'displayName': 'Reuters', 'url': 'https://www.reuters.com/', 'sourceId': 'reuters.com'}",Analysis-Rising fuel prices test Milei's free‑market gamble as South America feels oil shock,"By Lucinda Elliott and Eliana Raszewski MONTEVIDEO/BUENOS AIRES, April 2 (Reuters) - The global surge in fuel prices is exposing how unevenly South America is positioned to absorb the shock, with",https://finance.yahoo.com/sectors/energy/articles/analysis-rising-fuel-prices-test-161459572.html,0,baixa,incerto,0.15,,,"america, fuel, prices, shock, south, absorb, aires, analysis-rising, april, buenos, eliana, elliott",,
PETR4.SA,Petrobras,,"{'displayName': 'MT Newswires', 'url': 'https://www.mtnewswires.com/', 'sourceId': 'mt_newswires_premium_news_706'}","Transocean Awarded $1 Billion in New, Extended Contracts; Retires 8.375% Notes due 2028",Transocean (RIG) said Thursday it has been awarded a new contract and contract extensions totaling a,https://finance.yahoo.com/sectors/energy/articles/transocean-awarded-1-billion-extended-105215657.html,0,baixa,incerto,0.15,,,"awarded, contract, new, transocean, 2028, 375, been, billion, contracts, due, extended, extensions",,
PETR4.SA,Petrobras,,"{'displayName': 'Zacks', 'url': 'http://www.zacks.com/', 'sourceId': 'zacks.com'}","Top Research Reports for American Express, Intuitive Surgical & Shopify","American Express rides strong spending and digital growth, while Intuitive Surgical and Shopify highlight innovation and expansion in latest Zacks research roundup.",https://finance.yahoo.com/markets/stocks/articles/top-research-reports-american-express-213700024.html,0,baixa,incerto,0.15,,,"american, express, intuitive, research, shopify, surgical, digital, expansion, growth, highlight, innovation, latest",,
